elem_id,type,prop_id,n1,n2,n3,n4
16653,CBAR,30,2513,4506,,
18026,CBAR,30,4359,1939,,
18027,CBAR,30,1939,4462,,
18028,CBAR,30,4462,2694,,
18029,CBAR,30,2694,4512,,
18030,CBAR,30,4512,2025,,
18031,CBAR,30,2025,4556,,
18032,CBAR,30,4556,2797,,
18033,CBAR,30,2797,4557,,
18035,CBAR,30,1973,4550,,
18036,CBAR,30,4550,1405,,
18037,CBAR,30,1405,4494,,
18038,CBAR,30,4494,2286,,
18039,CBAR,30,2286,4446,,
1556578,CBAR,30,2651,3262,,
1556579,CBAR,30,3262,1952,,
1556580,CBAR,30,1952,3260,,
1556581,CBAR,30,3260,2680,,
1556582,CBAR,30,2680,3258,,
1556583,CBAR,30,3258,2011,,
1556584,CBAR,30,2011,3256,,
1556585,CBAR,30,3256,2783,,
1556586,CBAR,30,2783,3254,,
1556587,CBAR,30,3254,1959,,
1556588,CBAR,30,1959,3252,,
1556589,CBAR,30,3252,1391,,
1556590,CBAR,30,1391,3250,,
1556591,CBAR,30,3250,2272,,
1556592,CBAR,30,2272,3248,,
1556593,CBAR,30,3248,1543,,
1556594,CBAR,30,1543,3246,,
1556595,CBAR,30,3246,2167,,
1556596,CBAR,30,2167,3244,,
1556597,CBAR,30,3244,2473,,
1556598,CBAR,30,2473,3242,,
1556599,CBAR,30,3242,2422,,
1556600,CBAR,30,2422,23054,,
1556601,CBAR,30,23054,1808,,
1556602,CBAR,30,1808,22907,,
1556603,CBAR,30,22907,2731,,
1556604,CBAR,30,2731,22800,,
1556605,CBAR,30,22800,1033,,
1556606,CBAR,30,1033,3235,,
1556607,CBAR,30,3235,2375,,
1556690,CBAR,30,2649,3288,,
1556691,CBAR,30,3288,1950,,
1556692,CBAR,30,1950,3311,,
1556693,CBAR,30,3311,2683,,
1556694,CBAR,30,2683,3312,,
1556695,CBAR,30,3312,2016,,
1556696,CBAR,30,2016,3313,,
1556697,CBAR,30,3313,2788,,
1556698,CBAR,30,2788,3314,,
1556699,CBAR,30,3314,1964,,
1556700,CBAR,30,1964,3315,,
1556701,CBAR,30,3315,1394,,
1556702,CBAR,30,1394,3316,,
1556703,CBAR,30,3316,2275,,
1556704,CBAR,30,2275,3317,,
1556705,CBAR,30,3317,1548,,
1556706,CBAR,30,1548,3318,,
1556707,CBAR,30,3318,2172,,
1556708,CBAR,30,2172,3319,,
1556709,CBAR,30,3319,2478,,
1556710,CBAR,30,2478,3320,,
1556711,CBAR,30,3320,2426,,
1556712,CBAR,30,2426,22932,,
1556713,CBAR,30,22932,1809,,
1556714,CBAR,30,1809,22905,,
1556715,CBAR,30,22905,2736,,
1556716,CBAR,30,2736,22801,,
1556717,CBAR,30,22801,1035,,
1556718,CBAR,30,1035,3234,,
1556719,CBAR,30,3234,2378,,
1556801,CBAR,30,2647,3287,,
1556802,CBAR,30,3287,1948,,
1556803,CBAR,30,1948,3328,,
1556804,CBAR,30,3328,2685,,
1556805,CBAR,30,2685,3345,,
1556806,CBAR,30,3345,2018,,
1556807,CBAR,30,2018,3434,,
1556808,CBAR,30,3434,2790,,
1556809,CBAR,30,2790,3437,,
1556810,CBAR,30,3437,1966,,
1556811,CBAR,30,1966,3440,,
1556812,CBAR,30,3440,1396,,
1556813,CBAR,30,1396,3439,,
1556814,CBAR,30,3439,2277,,
1556815,CBAR,30,2277,3436,,
1556816,CBAR,30,3436,1550,,
1556817,CBAR,30,1550,3438,,
1556818,CBAR,30,3438,2174,,
1556819,CBAR,30,2174,3341,,
1556820,CBAR,30,3341,2480,,
1556821,CBAR,30,2480,3338,,
1556822,CBAR,30,3338,2428,,
1556823,CBAR,30,2428,22931,,
1556824,CBAR,30,22931,1811,,
1556825,CBAR,30,1811,22916,,
1556826,CBAR,30,22916,2738,,
1556827,CBAR,30,2738,22876,,
1556828,CBAR,30,22876,1037,,
1556829,CBAR,30,1037,3233,,
1556830,CBAR,30,3233,2380,,
1556912,CBAR,30,2646,3322,,
1556913,CBAR,30,3322,1946,,
1556914,CBAR,30,1946,3402,,
1556915,CBAR,30,3402,2687,,
1556916,CBAR,30,2687,3423,,
1556917,CBAR,30,3423,2020,,
1556918,CBAR,30,2020,3433,,
1556919,CBAR,30,3433,2792,,
1556920,CBAR,30,2792,3463,,
1556921,CBAR,30,3463,1968,,
1556922,CBAR,30,1968,3464,,
1556923,CBAR,30,3464,1398,,
1556924,CBAR,30,1398,3465,,
1556925,CBAR,30,3465,2279,,
1556926,CBAR,30,2279,3466,,
1556927,CBAR,30,3466,1552,,
1556928,CBAR,30,1552,3467,,
1556929,CBAR,30,3467,2176,,
1556930,CBAR,30,2176,3342,,
1556931,CBAR,30,3342,2482,,
1556932,CBAR,30,2482,3339,,
1556933,CBAR,30,3339,2430,,
1556934,CBAR,30,2430,22936,,
1556935,CBAR,30,22936,1813,,
1556936,CBAR,30,1813,22914,,
1556937,CBAR,30,22914,2740,,
1556938,CBAR,30,2740,22878,,
1556939,CBAR,30,22878,1039,,
1556940,CBAR,30,1039,3232,,
1556941,CBAR,30,3232,2382,,
1557022,CBAR,30,2644,3344,,
1557023,CBAR,30,3344,1944,,
1557024,CBAR,30,1944,3442,,
1557025,CBAR,30,3442,2689,,
1557026,CBAR,30,2689,3441,,
1557027,CBAR,30,3441,2022,,
1557028,CBAR,30,2022,3443,,
1557029,CBAR,30,3443,2794,,
1557030,CBAR,30,2794,3485,,
1557031,CBAR,30,3485,1970,,
1557032,CBAR,30,1970,3529,,
1557033,CBAR,30,3529,1400,,
1557034,CBAR,30,1400,3528,,
1557035,CBAR,30,3528,2281,,
1557036,CBAR,30,2281,3527,,
1557037,CBAR,30,3527,1554,,
1557038,CBAR,30,1554,3478,,
1557039,CBAR,30,3478,2178,,
1557040,CBAR,30,2178,3343,,
1557041,CBAR,30,3343,2484,,
1557042,CBAR,30,2484,3340,,
1557043,CBAR,30,3340,2432,,
1557044,CBAR,30,2432,22937,,
1557045,CBAR,30,22937,1815,,
1557046,CBAR,30,1815,22902,,
1557047,CBAR,30,22902,2742,,
1557048,CBAR,30,2742,22881,,
1557049,CBAR,30,22881,1041,,
1557050,CBAR,30,1041,3231,,
1557051,CBAR,30,3231,2384,,
1557132,CBAR,30,3309,1942,,
1557133,CBAR,30,1942,3330,,
1557134,CBAR,30,3330,2691,,
1557135,CBAR,30,2691,3347,,
1557136,CBAR,30,3347,2024,,
1557137,CBAR,30,2024,3371,,
1557138,CBAR,30,3371,2796,,
1557139,CBAR,30,2796,3486,,
1557140,CBAR,30,3486,1972,,
1557141,CBAR,30,1972,3532,,
1557142,CBAR,30,3532,1402,,
1557143,CBAR,30,1402,3531,,
1557144,CBAR,30,3531,2283,,
1557145,CBAR,30,2283,3530,,
1557146,CBAR,30,3530,1556,,
1557147,CBAR,30,1556,3479,,
1557148,CBAR,30,3479,2180,,
1557149,CBAR,30,2180,3445,,
1557150,CBAR,30,3445,2486,,
1557151,CBAR,30,2486,3444,,
1557152,CBAR,30,3444,2433,,
1557153,CBAR,30,2433,22939,,
1557154,CBAR,30,22939,1818,,
1557155,CBAR,30,1818,22901,,
1557156,CBAR,30,22901,2743,,
1557157,CBAR,30,2743,22883,,
1557158,CBAR,30,22883,1043,,
1557159,CBAR,30,1043,3230,,
1557160,CBAR,30,3230,2386,,
1557241,CBAR,30,3286,1940,,
1557242,CBAR,30,1940,3329,,
1557243,CBAR,30,3329,2693,,
1557244,CBAR,30,2693,3346,,
1557245,CBAR,30,3346,2026,,
1557246,CBAR,30,2026,3370,,
1557247,CBAR,30,3370,2798,,
1557248,CBAR,30,2798,3487,,
1557249,CBAR,30,3487,1974,,
1557250,CBAR,30,1974,3535,,
1557251,CBAR,30,3535,1404,,
1557252,CBAR,30,1404,3534,,
1557253,CBAR,30,3534,2285,,
1557254,CBAR,30,2285,3533,,
1557255,CBAR,30,3533,1558,,
1557256,CBAR,30,1558,3480,,
1557257,CBAR,30,3480,2182,,
1557258,CBAR,30,2182,3448,,
1557259,CBAR,30,3448,2488,,
1557260,CBAR,30,2488,3447,,
1557261,CBAR,30,3447,2435,,
1557262,CBAR,30,2435,23113,,
1557263,CBAR,30,23113,1820,,
1557264,CBAR,30,1820,23182,,
1557265,CBAR,30,23182,2745,,
1557266,CBAR,30,2745,22919,,
1557267,CBAR,30,22919,1045,,
1557268,CBAR,30,1045,3228,,
1557269,CBAR,30,3228,24386,,
1557350,CBAR,30,3285,1938,,
1557351,CBAR,30,1938,3331,,
1557352,CBAR,30,3331,2695,,
1557353,CBAR,30,2695,3348,,
1557354,CBAR,30,3348,2028,,
1557355,CBAR,30,2028,3372,,
1557356,CBAR,30,3372,2800,,
1557357,CBAR,30,2800,3488,,
1557358,CBAR,30,3488,1976,,
1557359,CBAR,30,1976,3536,,
1557360,CBAR,30,3536,1406,,
1557361,CBAR,30,1406,3538,,
1557362,CBAR,30,3538,2287,,
1557363,CBAR,30,2287,3537,,
1557364,CBAR,30,3537,1560,,
1557365,CBAR,30,1560,3481,,
1557366,CBAR,30,3481,2184,,
1557367,CBAR,30,2184,3453,,
1557368,CBAR,30,3453,2490,,
1557369,CBAR,30,2490,3452,,
1557370,CBAR,30,3452,2437,,
1557371,CBAR,30,2437,23183,,
1557372,CBAR,30,23183,1822,,
1557373,CBAR,30,1822,23207,,
1557374,CBAR,30,23207,2747,,
1557375,CBAR,30,2747,22921,,
1557376,CBAR,30,22921,1047,,
1557377,CBAR,30,1047,22784,,
1557378,CBAR,30,22784,22783,,
1557458,CBAR,30,3284,1936,,
1557459,CBAR,30,1936,3381,,
1557460,CBAR,30,3381,2697,,
1557461,CBAR,30,2697,3425,,
1557462,CBAR,30,3425,2030,,
1557463,CBAR,30,2030,3458,,
1557464,CBAR,30,3458,2802,,
1557465,CBAR,30,2802,3489,,
1557466,CBAR,30,3489,1978,,
1557467,CBAR,30,1978,3539,,
1557468,CBAR,30,3539,1408,,
1557469,CBAR,30,1408,3519,,
1557470,CBAR,30,3519,2289,,
1557471,CBAR,30,2289,3507,,
