"ID","10..Simcenter NASTRAN Case 5, 8065..Plate Mid X Normal Strain","10..Simcenter NASTRAN Case 5, 8066..Plate Mid Y Normal Strain","10..Simcenter NASTRAN Case 5, 8068..Plate Mid XY Shear Strain"
60,-0.00146923,0.000326555,-0.000715032
61,0.00186136,-0.000312308,0.00100196
1525,0.000331748,-0.00116154,-0.000589958
1526,0.000300185,-0.000987338,-0.000653661
1527,0.000249697,-0.000852168,-0.000545754
1528,0.00020911,-0.000724382,-0.000470053
1529,0.000177935,-0.000609197,-0.000421101
1530,0.000156092,-0.000490646,-0.000396853
1531,0.000139449,-0.000463337,-0.000389601
1532,0.000113163,-0.000347226,-0.000209493
1533,0.0000874661,-0.000289614,-0.00024828
1534,0.0000602555,-0.000165023,-0.000231662
1535,0.0000285099,-0.0000825314,-0.000165721
1536,0.0000200773,-0.0000172634,-0.0000817272
1537,0.00000547943,-0.0000016472,-0.0000560182
1559,-0.0000355289,0.0000241782,0.0000495555
1560,0.0000175934,-0.0000401575,-0.0000412883
1561,-0.0000378101,0.00000600247,0.0000306973
1562,-6.67105E-6,-0.0000228141,-0.0000383771
1563,0.0000163165,0.0000803516,0.000295628
1564,0.0000180784,0.0000116219,-0.000338115
1565,-0.0000640901,0.0000156594,-0.000556045
1566,-0.0000919276,0.0000399133,-0.000735517
1567,-0.000210598,0.0000724977,-0.000918695
1568,-0.000369343,0.000102616,-0.00107084
1569,-0.000536132,0.000136362,-0.00110014
1570,-0.000428731,0.000145569,-0.000949636
1571,-0.00054682,0.000141209,-0.00107767
1572,-0.000614968,0.000183778,-0.00120073
1573,-0.000726019,0.000210094,-0.00131292
1574,-0.000844094,0.000235617,-0.00143766
1575,-0.000916962,0.000277312,-0.00161683
1576,-0.00104447,0.00030505,-0.00175993
1577,-0.00126531,0.000298014,-0.00178217
1578,0.0000174442,0.000060962,0.000227648
1579,0.0000294,0.0000138783,0.000122946
1580,-0.00138566,0.000409705,-0.000119651
1581,0.000394007,-0.00135988,0.00000804448
1582,-0.00133326,0.000376968,0.0000995266
1583,0.000359122,-0.00130191,-0.000185604
1584,0.000318106,-0.001201,-0.000351728
1585,0.000343688,-0.00119966,-0.000421487
1586,0.000296405,-0.00133644,0.00152887
1587,-0.00142063,0.000383109,-0.000272455
1588,0.000385123,-0.00142435,0.000401746
1589,0.000387052,-0.00143215,0.000509438
1590,0.000387482,-0.00143297,0.000607522
1591,-0.00143001,0.00038855,-0.000713213
1592,0.000392504,-0.00144764,0.00084388
1593,-0.00137082,0.000435238,-0.000977642
1594,0.000393708,-0.00144114,0.00101693
1595,-0.0012229,0.000348898,-0.00157988
1596,0.000428011,-0.00133512,0.000142549
1597,0.000421768,-0.00131748,0.0000247889
1598,0.00041341,-0.00129613,-0.000091187
1599,0.000402045,-0.00126255,-0.000196342
1600,0.000365653,-0.00115856,-0.000428871
1601,0.000345118,-0.00111345,-0.000546555
1602,-2.737505E-7,0.00000789507,-0.000353287
1603,-0.0000351573,0.0000174154,-0.000344767
1604,0.000439948,-0.00138799,0.000345912
1605,0.000447612,-0.00139539,0.00046353
1606,0.000429837,-0.00133481,0.000366443
1607,0.000429087,-0.00133274,0.000472381
1608,0.0000254557,0.000031465,0.000167743
1609,0.0000132143,-0.0000244796,0.000355968
1610,-0.00107926,0.000306502,-0.00170476
1611,-0.00123696,0.000337681,-0.00184149
1612,0.00003012,0.00000376899,0.000106288
1613,-0.0000402095,0.0000202364,-0.000330984
1614,0.000368902,-0.0013913,0.00143232
1615,0.000392038,-0.00141934,0.00112844
1616,-0.00121488,0.000398731,-0.00026158
1617,-0.00120781,0.000383331,0.000323246
1618,-0.00125054,0.000338328,0.000262478
1619,0.000006168,-4.90826E-6,-0.000049456
1620,-0.00102264,0.000300017,-0.00156993
1621,-0.000913085,0.000256712,-0.00139354
1622,-0.000801402,0.000218093,-0.00126735
1623,-0.000677886,0.000194352,-0.00117331
1624,-0.000589844,0.000155892,-0.00104399
1625,-0.000473628,0.000151212,-0.00091941
1626,-0.000560975,0.00014087,-0.00110208
1627,-0.000404161,0.0000991737,-0.00101838
1628,-0.000253449,0.000068401,-0.000889053
1629,-0.000134099,0.0000393073,-0.000740647
1630,0.0000175717,-0.000065779,0.000520864
1631,-0.00137423,0.00031348,-0.00144336
1632,-0.00127517,0.000369729,-0.00146666
1633,-0.00133765,0.000446354,-0.000589381
1634,-0.00120323,0.000392413,-0.000576392
1635,-0.0000761279,0.0000182946,-0.000510668
1636,-0.0000605977,0.0000360092,-0.000444366
1637,0.000336756,-0.00111715,0.00146596
1638,0.000428695,-0.00135393,0.00112707
1639,0.000442903,-0.00138719,0.00102112
1640,0.00035815,-0.00115713,0.000116861
1641,0.000354304,-0.00114301,0.0000154045
1642,0.000346746,-0.00112761,-0.0000928515
1643,0.000325347,-0.00107742,-0.000288371
1644,0.0000462051,-0.0000931304,0.0007095
1645,-0.000132171,0.0000583252,-0.000629775
1646,0.000060119,-0.000195222,0.000873785
1647,0.0000822875,-0.000236668,0.00075824
1648,0.000388574,-0.00137969,0.00125311
1649,-0.00125944,0.000389198,-0.00138585
1650,0.000272686,-0.000979434,0.00134763
1651,0.000364317,-0.00118246,0.00105922
1652,0.000379814,-0.00121873,0.000973005
1653,0.000301354,-0.000979428,0.000104775
1654,0.000296831,-0.000966358,0.0000162154
1655,0.000290514,-0.000954989,-0.000089111
1656,0.000272166,-0.000911634,-0.000251535
1657,0.00000666534,-7.34502E-6,-0.0000358582
1658,0.00000774732,-7.50954E-6,-0.0000169025
1659,0.00000779231,-8.81722E-6,-0.0000114544
1660,0.0000088226,-0.0000117025,0.00000624243
1661,-0.0000125444,0.00000981147,-0.0000239943
1662,-0.0000129702,0.0000107128,-0.0000413742
1663,0.0000116493,-0.0000134879,0.0000572146
1664,-8.96354E-6,0.0000126876,-0.0000901658
1665,0.0000120159,-8.31138E-6,0.0000816805
1666,-0.0000117413,0.0000147212,-0.000117811
1667,-9.93294E-6,0.0000157405,-0.000139234
1668,0.0000168983,-7.71302E-6,0.000162195
1669,-3.58802E-6,0.0000190432,-0.000190999
1670,0.0000210603,0.00000129779,0.000209926
1671,0.00000541039,0.0000233148,-0.000229683
1672,0.0000117059,0.0000252169,-0.00025178
1673,0.000308918,-0.00103837,0.000945966
1674,0.000322472,-0.00106949,0.00086278
1675,0.0000301544,-0.0000411132,-0.000039219
1676,0.0000352418,-0.0000488799,0.0000273785
1677,0.000035243,-0.0000492853,0.0000568261
1678,0.0000349631,-0.0000481814,0.0000848051
1679,0.000034662,-0.0000475075,0.000114426
1680,0.000023535,-0.0000482529,0.000312526
1681,-0.00141201,0.000451196,-0.000905744
1682,-0.00140326,0.000453003,-0.000800013
1683,-0.0000443276,0.0000327068,-0.000134463
1684,0.000426369,-0.00139028,0.000239406
1685,0.0000451817,-0.0000944476,0.0000133631
1686,0.000284273,-0.000937178,-0.000152255
1687,0.000338352,-0.00110516,-0.000168633
1688,0.000260437,-0.000884682,-0.00032585
1689,-0.00104691,0.000313953,0.00037834
1690,0.0000231765,-0.0000223241,-0.000086496
1691,0.0000345429,-0.0000865427,-0.00013802
1692,0.0000679406,-0.000175293,-0.000185585
1693,0.000090386,-0.000293773,-0.000182569
1694,-0.000385792,0.000127567,0.000179287
1695,0.000149397,-0.000492544,-0.000314593
1696,0.000166066,-0.00048972,-0.000310893
1697,-0.000634225,0.000190837,0.000351285
1698,0.000224138,-0.000757798,-0.000390863
1699,0.000268003,-0.000894955,-0.000447677
1700,-0.0000875099,0.0000210908,-0.000494076
1701,0.0000402425,-0.0000686115,0.000424859
1702,0.0000655805,-0.000112216,0.000212051
1703,0.0000660393,-0.000115649,0.000178085
1704,0.0000656067,-0.000116248,0.000138345
1705,0.0000637625,-0.000115385,0.000101012
1706,0.0000608671,-0.000113424,0.0000631474
1707,-0.000109399,0.0000566515,-0.0000223197
1708,0.000365385,-0.00118022,0.00138942
1709,0.000452709,-0.00138816,0.000692599
1710,0.000240166,-0.000786254,-0.000144484
1711,0.000220142,-0.000741557,-0.000294854
1712,0.000358231,-0.00116085,0.000411223
1713,0.000360948,-0.00116446,0.000313952
1714,0.00036114,-0.00116379,0.000224642
1715,-0.00020198,0.0000679686,-0.000645968
1716,-0.000206139,0.0000979602,-0.000264135
1717,0.000098674,-0.000209373,0.000216446
1718,0.0000988404,-0.000211001,0.000166434
1719,0.0000978052,-0.000211513,0.000117989
1720,-0.000210258,0.0000954667,-0.000069931
1721,0.0000926028,-0.000207045,0.0000208058
1722,0.0000715317,-0.00021432,0.000810397
1723,0.000125505,-0.000321748,0.000323801
1724,0.000125894,-0.0003247,0.000267059
1725,0.000124847,-0.000326287,0.000208214
1726,0.000122875,-0.000326369,0.00015235
1727,-0.000324551,0.000119869,-0.000096041
1728,0.00011557,-0.000320721,0.0000404649
1729,0.000299668,-0.00103827,0.00128997
1730,0.00040849,-0.00128603,0.000790746
1731,0.000419473,-0.00131118,0.000689363
1732,0.000028261,-0.0000352535,0.000186063
1733,0.0000308935,-0.0000395036,0.000162243
1734,0.000304479,-0.000992225,0.000366429
1735,0.0000507562,-0.000103018,-0.0000268465
1736,0.000349818,-0.00114116,0.00060028
1737,-0.00115352,0.000354649,-0.000506575
1738,0.000262233,-0.000916425,0.0011604
1739,0.0000264893,-0.000029393,-0.0000755737
1740,0.0000292583,-0.0000349093,-0.0000505064
1741,-0.000600166,0.000145848,-0.00103696
1742,-0.000743189,0.000206009,-0.00109562
1743,-0.000871216,0.000241919,-0.00122424
1744,-0.000434252,0.000109052,-0.000974542
1745,-0.000525104,0.000165243,-0.000901383
1746,-0.000627037,0.000173618,-0.000996644
1747,-0.00109114,0.000325328,-0.00121449
1748,-0.00123951,0.000389002,-0.00131742
1749,-0.00095974,0.000279163,-0.00109584
1750,0.0000809116,-0.000236876,0.000577239
1751,-0.00035766,0.000110558,-0.000713525
1752,-0.00100148,0.000294571,-0.00102236
1753,-0.0011398,0.000346746,-0.00114127
1754,-0.00130217,0.000410073,-0.00124155
1755,-0.0000552832,0.0000267429,-0.000291733
1756,-0.000250421,0.0000876099,-0.000535933
1757,-0.000372924,0.000116907,-0.000661151
1758,-0.000126182,0.0000483894,-0.000411414
1759,-0.0000614644,0.0000296959,-0.000265383
1760,-0.00013734,0.0000540255,-0.000382508
1761,-0.000262814,0.0000940062,-0.000494628
1762,-0.000386816,0.000123426,-0.000603641
1763,-0.0000691001,0.0000331207,-0.000236764
1764,-0.000147432,0.0000589129,-0.000347194
1765,-0.000274935,0.0000980987,-0.000447167
1766,-0.000401184,0.000128702,-0.00054276
1767,-0.00109836,0.000333089,-0.000772657
1768,-0.00125426,0.000394807,-0.000880436
1769,-0.0000765692,0.0000362193,-0.000214619
1770,-0.000156053,0.0000624705,-0.000313615
1771,-0.00112316,0.000342258,-0.000690919
1772,-0.000285113,0.000101827,-0.00040248
1773,0.000305239,-0.000994271,0.000278014
1774,-0.00098952,0.000304878,-0.000197235
1775,-0.00016093,0.0000559599,0.0000833479
1776,0.000230217,-0.000765016,-0.000226513
1777,-0.000787734,0.000224826,-0.00103567
1778,-0.000659194,0.000189541,-0.000955397
1779,-0.000554744,0.000172191,-0.00085681
1780,-0.000623592,0.000159486,-0.000990432
1781,-0.000454516,0.000121891,-0.000920136
1782,0.00018153,-0.000505034,-0.000229772
1783,0.000161804,-0.000517894,-0.000219808
1784,-0.000405889,0.000135254,0.000133178
1785,0.000192242,-0.000622022,-0.000207966
1786,-0.000876197,0.00028285,-0.000456139
1787,0.000261998,-0.000832057,0.000249591
1788,0.000260118,-0.000827792,0.000172368
1789,0.000256589,-0.000819131,0.0000907317
1790,0.000251842,-0.000808406,0.0000109862
1791,0.000245494,-0.000799525,-0.0000831457
1792,0.000121836,-0.00036513,0.000867687
1793,0.000129914,-0.000382866,0.000810296
1794,0.000136312,-0.000397895,0.000748779
1795,0.00014291,-0.00041011,0.00068955
1796,-0.000422482,0.000148832,-0.000631866
1797,0.0000837361,-0.000195854,-0.0000756515
1798,0.000241804,-0.000827384,0.000972893
1799,0.000255482,-0.000861558,0.000912624
1800,0.0002658,-0.000891774,0.000845323
1801,0.000275351,-0.00091821,0.000772669
1802,0.000284456,-0.000941862,0.00069174
1803,0.000291402,-0.00096137,0.000618423
1804,-0.000412629,0.000133215,-0.000485454
1805,-0.000553363,0.000167832,-0.000560195
1806,-0.000163274,0.0000651178,-0.000275795
1807,-0.000293555,0.000105777,-0.00035274
1808,-0.000420896,0.000137138,-0.000425279
1809,-0.000560594,0.000172316,-0.00049515
1810,-0.000169698,0.0000676152,-0.00023635
1811,-0.000299693,0.000107754,-0.000301045
1812,-0.000426518,0.000138928,-0.00036309
1813,-0.000565102,0.000174741,-0.000427317
1814,-0.000567099,0.000176356,-0.000360779
1815,-0.000567172,0.000177697,-0.000294211
1816,-0.000563893,0.000177364,-0.000229916
1817,-0.000557898,0.000175255,-0.00016162
1818,-0.000284813,0.0000962991,0.0000585593
1819,0.000121616,-0.000402465,-0.000059365
1820,-0.000391502,0.00011393,0.000118248
1821,-0.000537555,0.000206653,0.0000843748
1822,0.0000520231,-0.000154264,-0.000115778
1823,-0.000264844,0.0000842236,0.000163714
1824,0.000107256,-0.000379087,-0.000165624
1825,-0.000422869,0.000142712,0.0000753397
1826,-0.000541658,0.000171604,0.000135443
1827,0.000187291,-0.000587332,0.000603942
1828,0.000192483,-0.000595663,0.00053298
1829,0.000195189,-0.000601773,0.000461797
1830,0.000196986,-0.000605539,0.000388911
1831,0.000198188,-0.000606095,0.000316097
1832,0.000196893,-0.000602648,0.000240592
1833,0.000194309,-0.000596048,0.000171411
1834,0.000260101,-0.000826785,0.000409917
1835,0.000262071,-0.000831359,0.000330269
1836,0.000159164,-0.000452682,0.000111491
1837,0.000155575,-0.000446197,0.0000479692
1838,0.000149836,-0.00043614,-0.0000138358
1839,0.000227034,-0.000566489,0.00050209
1840,0.00023175,-0.000573513,0.000440883
1841,0.000235284,-0.000577823,0.000378069
1842,0.000236439,-0.000579654,0.000316127
1843,0.000235774,-0.000578843,0.00025118
1844,0.000233579,-0.00057497,0.000184897
1845,0.000205763,-0.000682289,-0.0000828562
1846,0.000296815,-0.000975785,0.00053787
1847,-0.000646056,0.000174492,-0.000931531
1848,-0.000581104,0.000183489,-0.000810549
1849,-0.000693845,0.000203815,-0.00090016
