node_id,x,y,z
2,1431.03,436.757,170.971
3,1431.03,436.756,190.614
6,1420.67,413.272,168.555
7,1420.67,413.271,189.251
9,1334.61,165.166,137.225
10,1334.61,165.165,170.352
13,1415.98,416.752,189.996
14,1411.62,403.832,189.258
15,1321.05,120.273,165.545
17,1319.42,96.2708,162.013
18,1319.42,96.2435,121.725
23,1312.42,11.7308,102.168
24,1312.5,24.2315,104.957
35,1262.22,438.62,172.43
38,1262.22,438.62,190.87
39,1247.62,418.326,171.314
40,1247.62,418.326,190.423
43,1233.32,397.792,170.028
44,1233.32,397.792,190.198
49,1042.23,96.2348,137.079
50,1042.23,96.2678,193.093
56,1661.15,826.704,224.546
63,1617.18,828.555,225.027
64,1620.18,826.213,224.883
65,1620.18,826.213,207.215
66,1617.18,828.555,207.198
72,1558.87,841.139,220.717
81,1319.43,0.0001344,100.314
82,1319.21,24.2326,105.657
83,1790.55,1151.25,266.675
84,1790.55,1151.25,259.725
86,1827.38,1108.41,257.556
98,1042.23,0.001072,102.163
99,1042.23,24.2188,110.98
104,1787.42,1151.25,260.011
105,1781.36,1143.03,258.623
135,1673.96,848.411,226.998
139,1277.06,458.746,173.489
142,1291.89,478.872,174.62
144,1306.72,498.998,175.831
146,1321.55,519.124,177.121
148,1336.39,539.25,178.505
152,1366.05,579.502,181.567
153,1362.93,425.425,193.948
154,1358.02,429.117,194.319
155,1358.01,429.125,164.701
156,1362.92,425.431,164.493
158,1410.55,639.88,186.826
160,1425.38,660.006,188.705
162,1440.21,680.132,190.641
164,1455.05,700.258,192.637
165,1399.27,429.368,192.351
166,1404.34,425.551,191.67
167,1404.34,425.556,167.428
168,1399.27,429.368,167.134
170,1499.54,760.636,199.079
172,1514.38,780.762,201.425
173,1529.21,800.888,203.865
176,1544.04,821.015,206.379
180,1042.23,48.2267,119.763
182,1042.23,72.2316,128.49
185,1044.58,120.235,144.886
187,1061.7,151.77,150.279
190,1076.03,172.315,152.506
192,1090.17,192.585,154.538
194,1104.53,213.169,156.473
196,1118.88,233.728,158.284
198,1133.17,254.213,159.975
200,1147.45,274.689,161.564
202,1161.76,295.206,163.079
204,1176.07,315.723,164.546
206,1190.39,336.241,165.972
208,1204.7,356.758,167.36
210,1219.01,377.275,168.712
214,1766.53,1122.9,255.151
216,1751.7,1102.78,251.6
218,1736.86,1082.65,247.982
219,1722.03,1062.53,244.325
221,1707.2,1042.4,240.679
223,1692.37,1022.27,237.092
225,1677.53,1002.15,233.587
228,1662.7,982.022,230.179
230,1647.87,961.896,226.872
231,1256.94,411.31,191.778
232,1263.63,421.297,191.906
233,1258.76,424.779,191.266
234,1252.01,415.022,191.13
235,1409.71,421.512,167.739
236,1414.92,432.61,168.882
237,1420.16,428.679,169.467
238,1416.0,416.751,168.183
240,1573.71,861.266,211.691
242,1558.87,841.14,208.985
247,1252.01,415.02,169.981
248,1258.76,424.779,170.616
249,1049.2,11.7641,186.514
250,1049.23,0.0,184.979
251,1316.58,130.971,129.137
254,1316.55,130.973,167.864
296,1069.14,151.163,192.58
297,1069.16,151.162,147.746
301,1095.27,169.859,146.268
302,1095.27,169.856,192.766
303,1083.13,171.408,192.33
304,1083.21,171.397,150.062
305,1104.94,168.625,143.546
306,1104.94,168.62,192.805
307,1114.64,167.385,141.037
308,1114.64,167.38,192.641
309,1124.37,166.141,138.739
310,1124.37,166.136,192.288
312,1134.13,164.888,191.789
314,1143.93,163.635,191.154
316,1153.76,162.379,190.399
318,1163.62,161.118,189.537
320,1173.52,159.853,188.591
347,1319.44,141.198,131.509
350,1319.46,141.196,169.028
353,1323.64,153.357,134.201
356,1323.65,153.354,170.247
362,1280.04,160.682,177.07
364,1270.16,162.342,178.506
365,1260.29,164.006,131.164
366,1260.31,163.997,179.899
367,1250.49,165.654,131.015
368,1250.49,165.647,181.252
369,1240.73,167.294,130.977
370,1240.73,167.287,182.557
371,1231.02,168.927,131.067
372,1231.02,168.919,183.816
373,1221.34,170.552,131.297
374,1221.34,170.545,185.028
375,1211.71,172.165,131.678
376,1211.72,172.163,186.179
377,1202.11,173.776,132.219
378,1202.12,173.774,187.268
379,1192.57,175.383,132.932
380,1192.57,175.379,188.288
381,1183.06,176.977,133.853
382,1183.06,176.977,189.229
383,1173.59,178.569,134.965
384,1173.59,178.568,190.072
385,1164.16,180.153,136.29
386,1164.17,180.153,190.824
387,1154.78,181.73,137.829
388,1154.78,181.73,191.459
389,1145.43,183.3,139.589
390,1145.43,183.3,191.97
391,1136.12,184.866,141.557
392,1136.12,184.864,192.35
393,1126.85,186.424,143.721
394,1126.85,186.422,192.577
395,1117.59,187.914,146.082
396,1117.58,187.907,192.61
397,1108.44,189.518,148.657
398,1108.44,189.517,192.51
400,1097.07,191.427,191.998
401,1097.09,191.422,152.196
405,1111.2,211.78,154.234
406,1121.85,209.557,150.942
407,1121.85,209.556,192.247
408,1111.18,211.784,191.672
409,1130.58,207.735,148.522
410,1130.58,207.736,192.456
411,1139.35,205.905,146.281
412,1139.35,205.906,192.483
413,1148.16,204.067,144.216
414,1148.17,204.065,192.356
415,1157.02,202.218,142.342
416,1157.04,202.215,192.078
417,1165.93,200.359,140.674
418,1165.94,200.356,191.675
419,1174.89,198.491,139.195
420,1174.9,198.488,191.142
421,1183.89,196.613,137.92
422,1183.9,196.609,190.494
423,1192.94,194.723,136.841
424,1192.95,194.721,189.732
425,1202.04,192.825,135.952
